cur_glucose_levels,glucose_levels_lag_1,glucose_levels_lag_2,glucose_levels_lag_3,glucose_levels_lag_4,glucose_levels_lag_5,glucose_mean_levels_lag_1_2,glucose_mean_levels_lag_1_3,glucose_mean_levels_lag_1_4,rolling_mean_2,rolling_mean_3,rolling_mean_5,rolling_mean_10,rolling_std_1,rolling_std_2,rolling_std_3,rolling_std_5,rolling_std_10,rolling_max_2,rolling_min_2,rolling_max_3,rolling_min_3,rolling_max_5,rolling_min_5,rolling_max_10,rolling_min_10,diff_1,diff_4,minute_of_day,hour_of_day,hour_sin,hour_cos,day_period_afternoon,day_period_evening,day_period_morning,day_period_night,day_of_week_0
149.02189802636627,149.02173107012322,149.0215706141168,149.02141705122872,149.02127075206343,149.0211320594902,149.02165084212,149.02157406067596,149.0215009110933,149.02181454824475,149.02173323686876,149.0215775027797,149.02123229689826,,0.0001180558923473135,0.0001637168787445424,0.0002480959763999706,0.00041874013962779665,149.02189802636627,149.02173107012322,149.02189802636627,149.0215706141168,149.02189802636627,149.02127075206343,149.02189802636627,149.02065891032643,0.0001669562430492988,0.0006272743028432615,155,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.0220710727753,149.02189802636627,149.02173107012322,149.0215706141168,149.02141705122872,149.02127075206343,149.02181454824475,149.02173432024153,149.0216575387975,149.0219845495708,149.0219000564216,149.02173756692207,149.02137351314315,,0.00012236229006530236,0.00017001041652785288,0.00025865959496758714,0.00044139202450764914,149.0220710727753,149.02189802636627,149.0220710727753,149.02173107012322,149.0220710727753,149.02141705122872,149.0220710727753,149.0207645105141,0.00017304640903148538,0.0006540215465804522,160,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02224978678686,149.0220710727753,149.02189802636627,149.02173107012322,149.0215706141168,149.02141705122872,149.0219845495708,149.02190107144926,149.02182084344605,149.02216042978108,149.02207296197614,149.0219041140337,149.0215220407704,,0.0001263698902963713,0.0001758878200158492,0.00026859277843710195,0.0004630585527499472,149.02224978678686,149.0220710727753,149.02224978678686,149.02189802636627,149.02224978678686,149.0215706141168,149.02224978678686,149.02087869190046,0.00017871401155389322,0.0006791726700612344,165,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02243373763764,149.02224978678686,149.0220710727753,149.02189802636627,149.02173107012322,149.0215706141168,149.02216042978108,149.02207390657657,149.02199042845504,149.02234176221225,149.02225153239996,149.02207673873787,149.02167754534415,,0.00013007289488264415,0.00018133873285555163,0.00027787175429625426,0.00048365342207973614,149.02243373763764,149.02224978678686,149.02243373763764,149.0220710727753,149.02243373763764,149.02173107012322,149.02243373763764,149.0210012828528,0.00018395085078282136,0.0007026675144174988,170,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02262249025245,149.02243373763764,149.02224978678686,149.0220710727753,149.02189802636627,149.02173107012322,149.02234176221225,149.02225240520647,149.02216588200196,149.02252811394504,149.02243533822562,149.02225502276372,149.02183966608408,,0.00013346825484034704,0.00018635688828513256,0.0002864798433161947,0.0005031063807857102,149.02262249025245,149.02243373763764,149.02262249025245,149.02224978678686,149.02262249025245,149.02189802636627,149.02262249025245,149.0211320594902,0.00018875261480388872,0.0007244638861720887,175,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02281560873232,149.02262249025245,149.02243373763764,149.02224978678686,149.0220710727753,149.02189802636627,149.02252811394504,149.02243613851965,149.02234678151387,149.02271904949237,149.0226239455408,149.02243853923693,149.0220080210083,,0.00013655538768287732,0.00019093970707701423,0.0002944068287406656,0.0005213622572240044,149.02281560873232,149.02262249025245,149.02281560873232,149.02243373763764,149.02281560873232,149.0220710727753,149.02281560873232,149.02127075206343,0.00019311847987069086,0.0007445359570112942,180,3,0.7071067811865476,0.7071067811865476,False,False,False,True,True
149.02301265945482,149.02281560873232,149.02262249025245,149.02243373763764,149.02224978678686,149.0220710727753,149.02271904949237,149.02262467318496,149.02253269775957,149.02291413409358,149.02281691947985,149.02262685657283,149.02218221174743,,0.00013933590313504728,0.0001950879039981408,0.0003016483268851725,0.0005383798952462058,149.02301265945482,149.02281560873232,149.02301265945482,149.02262249025245,149.02301265945482,149.02224978678686,149.02301265945482,149.02141705122872,0.00019705072250530975,0.0007628726679627107,185,3,0.7071067811865476,0.7071067811865476,False,False,False,True,True
149.023213213802,149.02301265945482,149.02281560873232,149.02262249025245,149.02243373763764,149.02224978678686,149.02291413409358,149.02281757485363,149.02272319854623,149.02311293662842,149.02301382732972,149.02281954197582,149.02236182800476,,0.0001418133399190861,0.00019880510794642717,0.0003082051696982478,0.0005541310337030398,149.023213213802,149.02301265945482,149.023213213802,149.02281560873232,149.023213213802,149.02243373763764,149.023213213802,149.0215706141168,0.00020055434717392018,0.0007794761643538095,190,3,0.7071067811865476,0.7071067811865476,False,False,False,True,True
149.02341685053443,149.023213213802,149.02301265945482,149.02281560873232,149.02262249025245,149.02243373763764,149.02311293662842,149.02301441126716,149.0229178520272,149.02331503216823,149.02321424126376,149.0230161645552,149.02254645164652,,0.00014399291546470002,0.00020209749904380136,0.0003140828074655967,0.0005685991610244156,149.02341685053443,149.023213213802,149.02341685053443,149.02301265945482,149.02341685053443,149.02262249025245,149.02341685053443,149.02173107012322,0.00020363673243650737,0.0007943602819864282,195,3,0.7071067811865476,0.7071067811865476,False,False,False,True,True
149.02362315783333,149.02341685053443,149.023213213802,149.02301265945482,149.02281560873232,149.02262249025245,149.02331503216823,149.02321475499463,149.0231162296334,149.02352000418387,149.02341774072326,149.0232162980714,149.02273566041754,,0.00014588129114405255,0.000204973465844268,0.00031929073796712503,0.0005817783700909347,149.02362315783333,149.02341685053443,149.02362315783333,149.023213213802,149.02362315783333,149.02281560873232,149.02362315783333,149.02189802636627,0.00020630729889603572,0.000807549101011773,200,3,0.7071067811865476,0.7071067811865476,False,False,False,True,True
